Feature,Accuracy,Macro_F1
PDR_percent,0.9178755839685272,0.9168366578991793
Rank_Changes_Window,0.5397098598475535,0.511891138905017
Energy_Consumed_J,0.49618883698057537,0.45823803882964526
Avg_Delay_ms,0.4917629702483403,0.4734024244199184
Throughput_kbps,0.43939021391689204,0.3624401251773059
DIO_Count_Window,0.4047209245143841,0.3038591808031229
DIS_Count_Window,0.3993115318416523,0.3082460662369411
Avg_RSSI_dBm,0.2082616179001721,0.14488002832451197
