RUN_ID,Topology,Attack_Type,Avg_RSSI_dBm,DIO_Count_Window,DIS_Count_Window,Rank_Changes_Window,PDR_percent,Avg_Delay_ms,Throughput_kbps,Energy_Consumed_J,Normal,Flooding,Blackhole,Wormhole,Backoff_Manipulado
1,Grid_36,Normal,-62.6,30,3,1,100.0,14.4,33.9,0.36,1,0,0,0,0
2,Grid_36,Normal,-63.6,28,4,0,92.04,14.4,29.56,0.36,1,0,0,0,0
3,Grid_36,Normal,-66.6,28,3,1,91.08,14.4,34.7,0.36,1,0,0,0,0
4,Grid_36,Normal,-63.6,26,3,2,100.0,14.4,38.45,0.36,1,0,0,0,0
5,Grid_36,Normal,-65.5,32,3,0,97.62,14.4,28.78,0.36,1,0,0,0,0
6,Grid_36,Normal,-64.4,27,3,2,96.17,14.4,36.53,0.36,1,0,0,0,0
7,Grid_36,Normal,-64.5,30,4,1,100.0,14.4,35.52,0.36,1,0,0,0,0
8,Grid_36,Normal,-63.2,29,3,0,94.99,14.4,33.06,0.36,1,0,0,0,0
9,Grid_36,Normal,-65.5,27,3,0,97.55,14.4,37.73,0.36,1,0,0,0,0
12,Grid_36,Normal,-64.9,33,3,2,100.0,14.4,34.54,0.36,1,0,0,0,0
13,Grid_36,Normal,-69.6,35,3,2,94.05,14.4,33.69,0.36,1,0,0,0,0
14,Grid_36,Normal,-64.9,34,4,2,100.0,14.4,36.44,0.36,1,0,0,0,0
15,Grid_36,Normal,-61.7,29,2,2,100.0,14.4,33.47,0.36,1,0,0,0,0
16,Grid_36,Normal,-64.0,26,3,2,100.0,14.4,38.57,0.36,1,0,0,0,0
17,Grid_36,Normal,-64.5,25,3,2,100.0,14.4,37.38,0.36,1,0,0,0,0
18,Grid_36,Normal,-64.1,28,3,0,95.13,14.4,31.97,0.36,1,0,0,0,0
19,Grid_36,Normal,-66.8,26,3,2,100.0,14.4,38.41,0.36,1,0,0,0,0
20,Grid_36,Normal,-67.2,32,4,2,95.52,14.4,37.55,0.36,1,0,0,0,0
21,Grid_36,Normal,-67.4,28,4,1,98.5,14.4,37.2,0.36,1,0,0,0,0
22,Grid_36,Normal,-63.4,25,3,1,100.0,14.4,36.67,0.36,1,0,0,0,0
23,Grid_36,Normal,-66.5,27,4,2,96.67,14.4,30.78,0.36,1,0,0,0,0
24,Grid_36,Normal,-66.2,27,2,2,100.0,14.4,28.26,0.36,1,0,0,0,0
25,Grid_36,Normal,-64.8,29,4,0,89.03,14.4,35.63,0.36,1,0,0,0,0
26,Grid_36,Normal,-63.3,26,3,1,85.16,14.4,28.09,0.36,1,0,0,0,0
27,Grid_36,Normal,-65.1,29,3,0,100.0,14.4,40.55,0.36,1,0,0,0,0
28,Grid_36,Normal,-65.6,24,3,2,100.0,14.4,32.52,0.36,1,0,0,0,0
29,Grid_36,Normal,-65.1,26,2,2,100.0,14.4,38.51,0.36,1,0,0,0,0
30,Grid_36,Normal,-66.3,30,4,1,92.77,14.4,30.41,0.36,1,0,0,0,0
31,Grid_36,Normal,-62.9,26,4,0,100.0,14.4,30.16,0.36,1,0,0,0,0
32,Grid_36,Normal,-62.3,34,3,1,95.45,14.4,32.29,0.36,1,0,0,0,0
33,Grid_36,Normal,-64.0,30,3,0,100.0,14.4,37.76,0.36,1,0,0,0,0
34,Grid_36,Normal,-65.4,33,4,0,100.0,14.4,32.29,0.36,1,0,0,0,0
35,Grid_36,Normal,-65.5,28,2,2,100.0,14.4,35.95,0.36,1,0,0,0,0
36,Grid_36,Normal,-61.5,30,3,1,100.0,14.4,38.0,0.36,1,0,0,0,0
37,Grid_36,Normal,-66.6,24,3,2,100.0,14.4,37.61,0.36,1,0,0,0,0
38,Grid_36,Normal,-62.8,29,3,0,100.0,14.4,37.42,0.36,1,0,0,0,0
39,Grid_36,Normal,-64.0,31,2,2,98.39,14.4,36.12,0.36,1,0,0,0,0
40,Grid_36,Normal,-64.5,24,4,1,86.15,14.4,32.87,0.36,1,0,0,0,0
41,Grid_36,Normal,-64.9,31,3,0,92.87,14.4,30.28,0.36,1,0,0,0,0
42,Grid_36,Normal,-63.3,26,3,1,100.0,14.4,33.82,0.36,1,0,0,0,0
43,Grid_36,Normal,-68.5,30,3,1,95.62,14.4,33.8,0.36,1,0,0,0,0
44,Grid_36,Normal,-65.4,30,4,0,100.0,14.4,35.18,0.36,1,0,0,0,0
45,Grid_36,Normal,-65.2,26,4,2,94.91,14.4,29.36,0.36,1,0,0,0,0
46,Grid_36,Normal,-63.6,27,2,2,92.33,14.4,27.55,0.36,1,0,0,0,0
47,Grid_36,Normal,-64.9,28,4,1,100.0,14.4,30.02,0.36,1,0,0,0,0
48,Grid_36,Normal,-65.2,23,3,2,100.0,14.4,40.02,0.36,1,0,0,0,0
49,Grid_36,Normal,-66.4,25,3,2,99.64,14.4,29.41,0.36,1,0,0,0,0
50,Grid_36,Normal,-65.6,20,3,1,100.0,14.4,28.94,0.36,1,0,0,0,0
51,Grid_36,Normal,-65.8,27,3,1,93.13,14.4,42.44,0.36,1,0,0,0,0
52,Grid_36,Normal,-65.1,27,3,0,100.0,14.4,33.72,0.36,1,0,0,0,0
53,Grid_36,Normal,-66.6,32,3,1,97.04,14.4,39.87,0.36,1,0,0,0,0
54,Grid_36,Normal,-64.1,31,3,1,100.0,14.4,32.9,0.36,1,0,0,0,0
55,Grid_36,Normal,-63.2,22,3,1,100.0,14.4,33.14,0.36,1,0,0,0,0
56,Grid_36,Normal,-63.4,31,4,0,100.0,14.4,30.84,0.36,1,0,0,0,0
58,Grid_36,Normal,-67.7,29,3,2,95.03,14.4,37.22,0.36,1,0,0,0,0
